Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-12-20,Drive,2011,https://boxd.it/2nhRt3,4,,"Curioso como o filme apresenta ideias opostas ao mesmo tempo em diversas cenas causando uma aflição angustiante que gostei até certo ponto. Por exemplo, as cenas de violência que buscam causar um choque mas que preservam a fotografia aconchegante, ou a atuação inexpressiva de Ryan Gosling para um personagem que parece sempre estar tentando demonstrar suas emoções através do rosto. É interessante, porém cansativo.",,2021-12-19
2022-02-13,Live Flesh,1997,https://boxd.it/2zJKSJ,4,,"Carne Trêmula é um ótimo filme no que se refere à fotografia e a montagem, que são exóticas e recheadas de escolhas peculiares. Almodóvar usa das cores vibrantes, das vestimentas texturizadas e da proposital breguice para dar uma aparência única ao universo de suas histórias, que transitam levemente entre o real e o caricato. O diretor chega a tratar disso diretamente neste filme, quando um tiro é disparado na cena e simultaneamente uma mulher é baleada na televisão, enquanto a personagem real não é atingida. 

Gosto de como Almodóvar muda a narrativa bruscamente mais de uma vez, articulando muito bem a relação entre passado e presente típica de seus filmes. 

Os personagens aqui, por mais que não sigam caminhos óbvios, parecem estar sempre no local certo na hora certa. Através de coincidências, que funcionam muito bem em alguns momentos mas aparentam forçadas em outros, o diretor reafirma esta que parece ser para mim a ideia principal deste filme: o destino ao qual eles estão presos.",,2022-02-12
2022-04-24,Kika,1993,https://boxd.it/2MvtjB,4.5,,Só tem maluco.,,2022-04-23
2022-07-15,O Signo do Caos,2003,https://boxd.it/31tbG9,4,,"O Anti-filme. O Cinecídio.
Isso aqui é sarcasmo puro
E é Brasil.",,2022-07-15
2022-07-16,Nostalgia,1983,https://boxd.it/31EMBd,5,,Talvez esse seja meu favorito do Tarkovsky até o momento.,,2022-07-16
2022-07-31,Vampires Suck,2010,https://boxd.it/351DWT,1,,Putaqueopariu,,2022-07-30
2022-11-20,Fantastic Planet,1973,https://boxd.it/3rRZuz,5,,"De início achei que eram só extraterrestres psicodélicos, mas isso aqui é uma alegoria genial e realmente profunda sobre nossa sociedade.",,2022-11-19
2022-12-06,Skinamarink,2022,https://boxd.it/3vg947,4.5,,Que filme desgraçado,,2022-12-05
2022-12-09,Come and See,1985,https://boxd.it/3vKhE3,5,Yes,Você sabe que um filme é foda quando vê ele novamente e a experiência é ainda mais foda.,,2022-12-08
2023-01-09,8 Mile,2002,https://boxd.it/3FLSjj,3.5,,Brittany Murphy,,2023-01-08
2023-01-11,Avatar: The Way of Water,2022,https://boxd.it/3GygtN,3.5,,"Avatar, só que agora na água.
James Cameron pensou: Já fiz Titanic, já fiz Avatar...
E namoral, esses bicho azul ultra 3D são na verdade um bando de comunista tendeu",,2023-01-10
2023-02-22,Awakening of the Beast,1970,https://boxd.it/3TkoNP,5,,"A sequência final desse filme é uma das coisas mais macabras já feitas no cinema brasileiro. Cor, surrealismo e maldade.",,2023-02-21
2023-03-21,Fantasy,1976,https://boxd.it/40PZZN,,,"Droga, muita droga",,2023-03-21
2023-05-08,Beautiful Disaster,2023,https://boxd.it/4dFH4L,0.5,,Horrível,,2023-05-07
2023-08-10,Inland Empire,2006,https://boxd.it/4FHeNt,5,,"Chegou um ponto do filme em que meu cérebro foi completamente desligado e duas horas de caos, surrealismo e horror se passaram como dois minutos. Terminei em choque.
Talvez o melhor filme do Lynch, sinto que aqui é onde ele une os melhores aspectos de sua filmografia em uma única e potente obra.",,2023-08-09
2023-10-15,Nosso Sonho,2023,https://boxd.it/4ZRHXH,4,,"Chorei pra caralho
Ressuscita São Gonçalo",,2023-10-14
