Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-07-27,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/33YLPr,4,,,2022-07-26
2022-07-31,Evil Dead,2013,https://boxd.it/3506tR,3,,,2022-07-30
2022-07-31,Vampires Suck,2010,https://boxd.it/351DWT,1,,,2022-07-30
2022-08-31,Atman,1975,https://boxd.it/3biELb,5,,,2022-08-30
2022-09-09,Thunder,1982,https://boxd.it/3cWNIp,5,,,2022-09-08
2022-09-09,Viola Chinesa,1975,https://boxd.it/3cWPeh,5,,,2022-09-08
2022-09-09,"Hail, Sarajevo",1993,https://boxd.it/3cWQ2V,5,,,2022-09-08
2022-09-14,High-Rise,2009,https://boxd.it/3dWCtx,4,,,2022-09-13
2022-09-22,Macunaima,1969,https://boxd.it/3fs5fP,4,,,2022-09-20
2022-09-23,Pierrot le Fou,1965,https://boxd.it/3fyEFv,4,,,2022-09-22
2022-09-24,Mars One,2022,https://boxd.it/3fIaJH,4,,,2022-09-23
2022-10-07,Brainstorm,2000,https://boxd.it/3irfSn,5,Yes,,2022-10-06
2022-10-14,The Serpent's Egg,1977,https://boxd.it/3k0BPf,4,,,2022-10-13
2022-11-06,Fellini Satyricon,1969,https://boxd.it/3oZH01,3.5,,,2022-11-06
2022-11-20,Fantastic Planet,1973,https://boxd.it/3rRZuz,5,,,2022-11-19
2022-11-23,Eu Ainda Sinto Falta de Muita Coisa,2022,https://boxd.it/3svkDP,4,,,2022-11-22
2022-12-04,The Thing,1982,https://boxd.it/3uCTjd,4.5,Yes,,2022-12-01
2022-12-06,Skinamarink,2022,https://boxd.it/3vg947,4.5,,,2022-12-05
2022-12-09,Come and See,1985,https://boxd.it/3vKhE3,5,Yes,,2022-12-08
2022-12-26,Logan Lucky,2017,https://boxd.it/3A9YqT,3.5,,,2022-12-23
2022-12-27,Avatar,2009,https://boxd.it/3AvrpR,4,Yes,,2022-12-26
2022-12-28,Black Adam,2022,https://boxd.it/3AMZIR,2.5,,,2022-12-27
2022-12-28,The Bitter Tears of Petra von Kant,1972,https://boxd.it/3AWzeB,4.5,,,2022-12-27
2023-01-06,Madame Satã,2002,https://boxd.it/3Eykdr,4.5,,,2023-01-05
2023-01-08,Hereditary,2018,https://boxd.it/3Fhsdp,5,Yes,,2023-01-07
2023-01-09,8 Mile,2002,https://boxd.it/3FLSjj,3.5,,,2023-01-08
2023-01-10,Nelson Cavaquinho,1969,https://boxd.it/3G1BD9,4,,,2023-01-09
2023-01-10,Rabbits,2002,https://boxd.it/3Gfxen,5,,,2023-01-09
2023-01-11,Avatar: The Way of Water,2022,https://boxd.it/3GygtN,3.5,,,2023-01-10
2023-01-17,Jeepers Creepers,2001,https://boxd.it/3IDkFB,3,,,2023-01-16
2023-01-18,Jeepers Creepers 2,2003,https://boxd.it/3ITyMj,3.5,,,2023-01-16
2023-01-18,The Man from Toronto,2022,https://boxd.it/3ITzYl,2.5,,,2023-01-17
2023-01-26,Everything Everywhere All at Once,2022,https://boxd.it/3LrnYp,3.5,,,2023-01-25
2023-01-27,A Study in Choreography for Camera,1945,https://boxd.it/3LIGo5,4,,,2023-01-27
