Date,Name,Year,Letterboxd URI
2020-12-22,Fantastic Four,2015,https://boxd.it/5a9c
2020-12-23,King Kong,2005,https://boxd.it/2aLa
2020-12-23,Frankenweenie,2012,https://boxd.it/bPS
2020-12-23,First Cow,2019,https://boxd.it/krga
2020-12-24,The Invisible Man,2020,https://boxd.it/kWlA
2020-12-25,The Platform,2019,https://boxd.it/mUm6
2020-12-25,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ
2020-12-25,Pan's Labyrinth,2006,https://boxd.it/28No
2020-12-25,The League of Extraordinary Gentlemen,2003,https://boxd.it/1ZVy
2020-12-25,The Boy,2016,https://boxd.it/apZi
2020-12-25,The Possession,2012,https://boxd.it/2Hla
2020-12-26,Palm Springs,2020,https://boxd.it/lCXQ
2020-12-27,Sherlock Holmes,2009,https://boxd.it/1W2A
2020-12-27,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S
2020-12-27,The Martian,2015,https://boxd.it/8SeG
2020-12-30,Soul,2020,https://boxd.it/ioLA
2020-12-30,The Midnight Sky,2020,https://boxd.it/mK6C
2021-01-03,Black Mirror: Nosedive,2016,https://boxd.it/hK9G
2021-01-03,Chernobyl,2019,https://boxd.it/mkbG
2021-01-03,The Last Dance,2020,https://boxd.it/pVfc
2021-01-03,Marvel's The Defenders,2017,https://boxd.it/oszg
2021-01-03,"Tiger King: Murder, Mayhem and Madness",2020,https://boxd.it/pzj2
2021-01-03,Sherlock: The Abominable Bride,2016,https://boxd.it/dbTQ
2021-01-03,Black Mirror: The National Anthem,2011,https://boxd.it/hQYK
2021-01-03,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2021-01-03,"Love, Death & Robots: When the Yogurt Took Over",2019,https://boxd.it/lFSY
2021-01-03,"Love, Death & Robots: The Dump",2019,https://boxd.it/lJGi
2021-01-03,In the Tall Grass,2019,https://boxd.it/iZpm
2021-01-03,1922,2017,https://boxd.it/g8CS
2021-01-03,Ghost Killers vs. Bloody Mary,2018,https://boxd.it/kw3U
2021-01-04,Fences,2016,https://boxd.it/dL6A
2021-01-04,101 Dalmatians,1996,https://boxd.it/1TgO
2021-01-04,Notting Hill,1999,https://boxd.it/2aeK
2021-01-06,Star Wars,1977,https://boxd.it/72s
2021-01-06,Steamboat Willie,1928,https://boxd.it/wgk
2021-01-06,Never Rarely Sometimes Always,2020,https://boxd.it/lWJk
2021-01-07,The Empire Strikes Back,1980,https://boxd.it/27Vw
2021-01-10,Sound of Metal,2019,https://boxd.it/i7Q4
2021-01-11,Iron Man,2008,https://boxd.it/28dA
2021-01-11,Iron Man 2,2010,https://boxd.it/1WZM
2021-01-11,The Metamorphosis of Birds,2020,https://boxd.it/oJsw
2021-01-15,Hercules,1997,https://boxd.it/1SDW
2021-01-15,Aladdin,1992,https://boxd.it/29yE
2021-01-15,The Little Mermaid,1989,https://boxd.it/1WYO
2021-01-15,Moana,2016,https://boxd.it/8tfY
2021-01-15,Dick Johnson Is Dead,2020,https://boxd.it/oigy
2021-01-16,WALL·E,2008,https://boxd.it/1VEo
2021-01-18,Russian Ark,2002,https://boxd.it/1JQM
2021-01-18,Spirited Away,2001,https://boxd.it/2b4m
2021-01-19,Happy Feet,2006,https://boxd.it/1XH0
2021-01-22,Pieces of a Woman,2020,https://boxd.it/nOrQ
2021-01-24,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq
2021-01-24,Euphoria: F*ck Anyone Who’s Not a Sea Blob,2021,https://boxd.it/tMkU
2021-01-25,Godzilla,2014,https://boxd.it/47OE
